,workload_MW,carbon_intensity_gCO2_kWh,energy_kWh,emission_gCO2,emission_kgCO2
2024-08-01 00:00:00+00:00,6.576179269938608,566.7328530465155,7891.415123926329,4472324.207757191,4472.32420775719
2024-08-01 01:00:00+00:00,6.240003973439876,577.5971038063739,7488.004768127851,4325049.867358965,4325.049867358965
2024-08-01 02:00:00+00:00,6.687612798951614,584.8678473816425,8025.135358741936,4693643.642213701,4693.643642213701
2024-08-01 03:00:00+00:00,6.735141179097804,584.9953153093294,8082.169414917364,4728031.245263001,4728.0312452630005
2024-08-01 04:00:00+00:00,6.012241202836542,530.9507945222008,7214.6894434038495,3830645.0922062085,3830.6450922062086
2024-08-01 05:00:00+00:00,6.17445512328442,478.0626796856344,7409.346147941304,3542131.8742032526,3542.1318742032527
2024-08-01 06:00:00+00:00,6.531960100791822,421.5273461020834,7838.352120950186,3304079.7673577685,3304.0797673577686
2024-08-01 07:00:00+00:00,6.73152220603713,356.32434206853145,8077.826647244556,2878326.2654230674,2878.3262654230675
2024-08-01 08:00:00+00:00,7.095799710623928,311.4391181722556,8514.959652748714,2651891.525524395,2651.891525524395
2024-08-01 09:00:00+00:00,7.135267155530462,279.65802754836,8562.320586636555,2394521.6864954955,2394.5216864954955
2024-08-01 10:00:00+00:00,7.7590799782570326,278.27960360189473,9310.895973908438,2591032.440797718,2591.0324407977178
2024-08-01 11:00:00+00:00,7.853558975404119,308.6404644603931,9424.270770484942,2908711.3078029794,2908.7113078029793
2024-08-01 12:00:00+00:00,7.716507674390304,317.933548855073,9259.809209268364,2944004.003623578,2944.0040036235782
2024-08-01 13:00:00+00:00,7.94092129328889,329.9516738332402,9529.105551946668,3144144.326998425,3144.144326998425
2024-08-01 14:00:00+00:00,7.656107820104338,362.73403953699767,9187.329384125205,3332557.1000606925,3332.5571000606924
2024-08-01 15:00:00+00:00,7.133705021703048,411.6787509284409,8560.446026043657,3524153.727391988,3524.153727391988
2024-08-01 16:00:00+00:00,7.192187696020625,436.37896410847645,8630.625235224748,3766223.2997558517,3766.2232997558517
2024-08-01 17:00:00+00:00,6.570862203915775,456.3716930520019,7885.03464469893,3598506.6105749407,3598.5066105749406
2024-08-01 18:00:00+00:00,6.719612575326819,475.0725738901518,8063.535090392183,3830764.370046172,3830.7643700461717
2024-08-01 19:00:00+00:00,6.487518522253437,481.6711893346877,7785.022226704124,3749820.914933554,3749.820914933554
2024-08-01 20:00:00+00:00,6.453784409113686,493.49859784890094,7744.541290936422,3821920.2680600416,3821.9202680600415
2024-08-01 21:00:00+00:00,6.329767613899015,521.3954244491887,7595.721136678817,3960374.2460563257,3960.374246056326
2024-08-01 22:00:00+00:00,6.805635334668507,528.4026136805146,8166.762401602207,4315338.598314363,4315.338598314363
2024-08-01 23:00:00+00:00,6.461367629482799,537.463996658568,7753.641155379359,4167302.964026547,4167.302964026547
2024-08-02 00:00:00+00:00,6.392918044459224,542.5274286672527,7671.501653351068,4162000.0660091327,4162.000066009133
2024-08-02 01:00:00+00:00,6.411966612377943,552.3801309917596,7694.359934853531,4250211.548712141,4250.211548712141
2024-08-02 02:00:00+00:00,6.633077296388338,551.6737303303313,7959.692755666006,4391153.394801579,4391.153394801579
2024-08-02 03:00:00+00:00,6.591361016091019,545.6536291700006,7909.633219309223,4315920.071519673,4315.920071519673
2024-08-02 04:00:00+00:00,6.603183152898997,510.6821896992863,7923.819783478796,4046553.6378094763,4046.553637809476
2024-08-02 05:00:00+00:00,6.6077052507519705,459.8395136102664,7929.246300902364,3646180.762302947,3646.180762302947
2024-08-02 06:00:00+00:00,7.035411900217615,434.62267455680137,8442.494280261137,3669299.4440175933,3669.2994440175935
2024-08-02 07:00:00+00:00,6.7089791000268715,414.43436574241366,8050.774920032245,3336517.7977184947,3336.517797718495
2024-08-02 08:00:00+00:00,6.971939317732115,368.0360811333919,8366.327181278539,3079110.2692775303,3079.1102692775303
2024-08-02 09:00:00+00:00,7.145084955361888,327.2574532639575,8574.101946434266,2805938.7670156187,2805.938767015619
2024-08-02 10:00:00+00:00,7.6932253401852,293.0180322318216,9231.87040822224,2705104.5008364646,2705.1045008364645
2024-08-02 11:00:00+00:00,7.941354064727105,275.43757380795387,9529.624877672526,2624816.75560604,2624.81675560604
2024-08-02 12:00:00+00:00,7.671513135586281,262.76093647382385,9205.815762703538,2418928.7708134707,2418.9287708134707
2024-08-02 13:00:00+00:00,7.44907187230625,274.2459082274234,8938.886246767499,2451452.9772863765,2451.4529772863766
2024-08-02 14:00:00+00:00,7.333110180618516,300.7293186070173,8799.732216742219,2646337.4734651055,2646.3374734651056
2024-08-02 15:00:00+00:00,7.511176334380033,357.97429299557825,9013.411601256039,3226569.6454377733,3226.5696454377735
2024-08-02 16:00:00+00:00,7.2858135428008595,443.1746497470848,8742.976251361031,3874665.4379440052,3874.665437944005
2024-08-02 17:00:00+00:00,6.946371421199324,494.4853871651517,8335.645705439189,4121854.993925631,4121.854993925631
2024-08-02 18:00:00+00:00,6.333622573177826,512.0720567263288,7600.34708781339,3891925.365090566,3891.925365090566
2024-08-02 19:00:00+00:00,6.55804033076668,530.5203814148931,7869.648396920016,4175008.8691351092,4175.008869135109
2024-08-02 20:00:00+00:00,6.529171452285182,547.5789180490262,7835.005742742218,4290283.967518691,4290.283967518691
2024-08-02 21:00:00+00:00,6.554672149182253,577.8517321070657,7865.606579018704,4545154.38575869,4545.154385758689
2024-08-02 22:00:00+00:00,6.717857194487048,587.2940422511708,8061.4286333844575,4734429.00841969,4734.42900841969
2024-08-02 23:00:00+00:00,6.5558988871936705,592.2589019775444,7867.078664632405,4659347.371686154,4659.3473716861545
2024-08-03 00:00:00+00:00,5.869728390767975,573.2272993758139,7043.674068921569,4037626.2642113618,4037.6262642113616
2024-08-03 01:00:00+00:00,5.7168947673722235,558.5310557236676,6860.273720846668,3831675.9238578225,3831.6759238578225
2024-08-03 02:00:00+00:00,5.772279849672497,555.1604383909975,6926.735819606996,3845449.694231645,3845.449694231645
2024-08-03 03:00:00+00:00,5.857822056459636,542.3997039910297,7029.386467751563,3812737.1393469977,3812.7371393469975
2024-08-03 04:00:00+00:00,5.335711045036085,514.1880996812711,6402.853254043302,3292270.947234568,3292.270947234568
2024-08-03 05:00:00+00:00,5.620082195910675,420.975675259448,6744.09863509281,2839101.476924517,2839.101476924517
2024-08-03 06:00:00+00:00,5.582406836426802,312.3319844341611,6698.888203712163,2092277.0461680125,2092.2770461680125
2024-08-03 07:00:00+00:00,5.85086339206219,228.0721122027068,7021.036070474628,1601302.526444541,1601.302526444541
2024-08-03 08:00:00+00:00,6.231214437193328,191.1458155154768,7477.457324631993,1429284.6782989579,1429.284678298958
2024-08-03 09:00:00+00:00,6.922263465232456,172.50019199872247,8306.716158278947,1432910.1321820086,1432.9101321820085
2024-08-03 10:00:00+00:00,6.522772705618015,163.64025036785853,7827.327246741618,1280865.790367959,1280.865790367959
2024-08-03 11:00:00+00:00,7.101180580194752,165.03134676657518,8521.416696233702,1406300.8737386276,1406.3008737386276
2024-08-03 12:00:00+00:00,6.479282557096049,167.3129646695459,7775.139068515258,1300881.5682712994,1300.8815682712993
2024-08-03 13:00:00+00:00,6.775389734050439,175.09008009148067,8130.467680860526,1423564.2374230647,1423.5642374230647
2024-08-03 14:00:00+00:00,6.779918750817577,193.92366930441617,8135.902500981092,1577744.0660932297,1577.7440660932298
2024-08-03 15:00:00+00:00,6.695083720263677,239.42666229312712,8034.1004643164115,1923577.8586989413,1923.5778586989413
2024-08-03 16:00:00+00:00,6.477806644948214,325.4975333292542,7773.367973937857,2530212.101177395,2530.2121011773947
2024-08-03 17:00:00+00:00,6.208919662923007,362.5278413524867,7450.703595507608,2701087.491036584,2701.087491036584
2024-08-03 18:00:00+00:00,5.612818731937891,388.3793721107526,6735.382478325469,2615883.6178578106,2615.8836178578103
2024-08-03 19:00:00+00:00,5.584412051833859,396.2463230468376,6701.294462200632,2655363.2903011353,2655.3632903011353
2024-08-03 20:00:00+00:00,5.91449397031429,401.54412635703466,7097.392764377148,2849916.376984561,2849.916376984561
2024-08-03 21:00:00+00:00,5.652173918779598,406.772521313937,6782.608702535516,2758978.8430162226,2758.9788430162225
2024-08-03 22:00:00+00:00,5.3810784191655205,440.68484129950735,6457.294102998624,2845631.627004193,2845.631627004193
2024-08-03 23:00:00+00:00,5.416678196499131,445.9102876725772,6500.013835798956,2898423.039396845,2898.4230393968446
2024-08-04 00:00:00+00:00,5.470136928499598,421.3186305494271,6564.164314199517,2765604.71955996,2765.60471955996
2024-08-04 01:00:00+00:00,5.824290186013442,407.86854329175264,6989.148223216131,2850653.7046533045,2850.6537046533044
2024-08-04 02:00:00+00:00,5.735606434017642,397.05477973192814,6882.72772082117,2732819.9391454854,2732.8199391454855
2024-08-04 03:00:00+00:00,5.872621338516942,380.6780731955624,7047.145606220331,2682693.810904529,2682.693810904529
2024-08-04 04:00:00+00:00,5.593186838415867,357.2564433380553,6711.824206099041,2397842.44418121,2397.84244418121
2024-08-04 05:00:00+00:00,5.739634922769179,315.92348086795727,6887.561907323015,2175942.5324550336,2175.9425324550334
2024-08-04 06:00:00+00:00,5.856397598491835,249.44148978768249,7027.677118190202,1752994.2501081713,1752.9942501081712
2024-08-04 07:00:00+00:00,5.933246219192966,193.13911796598472,7119.895463031558,1375130.3297399315,1375.1303297399315
2024-08-04 08:00:00+00:00,6.414193809389353,169.09654844412168,7697.032571267224,1301541.6410632706,1301.5416410632706
2024-08-04 09:00:00+00:00,6.383046652157195,156.5917805230432,7659.655982588634,1199439.1685075343,1199.4391685075343
2024-08-04 10:00:00+00:00,6.648467022900059,150.56618645613787,7978.16042748007,1201241.1905009449,1201.2411905009449
2024-08-04 11:00:00+00:00,6.7636765180473,146.4131425346593,8116.41182165676,1188349.360914225,1188.349360914225
2024-08-04 12:00:00+00:00,6.6010400886027405,145.91692434685442,7921.248106323288,1155844.160663039,1155.844160663039
2024-08-04 13:00:00+00:00,6.9808541117432785,149.31180047636545,8377.024934091934,1250788.6755446733,1250.7886755446734
2024-08-04 14:00:00+00:00,6.621879899490645,161.202591828598,7946.255879388775,1280957.0430907058,1280.9570430907058
2024-08-04 15:00:00+00:00,6.55165166710578,186.2460869219824,7861.982000526936,1464263.3830492008,1464.2633830492007
2024-08-04 16:00:00+00:00,6.420186664726478,265.58487778083287,7704.223997671773,2046125.3888178174,2046.1253888178173
2024-08-04 17:00:00+00:00,6.122215648130512,346.46547278487714,7346.658777756614,2545363.6068246127,2545.363606824613
2024-08-04 18:00:00+00:00,5.866346277243197,396.6035614339055,7039.615532691837,2791936.5913910223,2791.9365913910224
2024-08-04 19:00:00+00:00,5.675378628872645,424.4617007561397,6810.454354647174,2890777.0382955973,2890.7770382955973
2024-08-04 20:00:00+00:00,5.594175421988962,443.4814721598015,6713.010506386754,2977095.7819966124,2977.0957819966125
2024-08-04 21:00:00+00:00,5.680070447273401,476.3308191753125,6816.084536728082,3246711.130947868,3246.711130947868
2024-08-04 22:00:00+00:00,5.278166391510492,484.6380189125281,6333.79966981259,3069600.124166798,3069.6001241667977
2024-08-04 23:00:00+00:00,5.338221881894229,490.8863994994474,6405.866258273074,3144552.6231986666,3144.5526231986664
