,workload_MW,actual_CI,forecast_CI,energy_kWh,actual_emission_kgCO2,forecast_emission_kgCO2,emission_error_kgCO2
2024-08-08 01:00:00+00:00,6.489809368466142,545.8827828395773,537.76337,7787.771242159371,4251.210237787989,4187.97808226698,-63.23215552100919
2024-08-08 02:00:00+00:00,6.336303076142653,545.1494458182248,544.0702,7603.563691371184,4145.078532594576,4136.872345508577,-8.206187085998863
2024-08-08 03:00:00+00:00,6.61151805037052,529.804935132971,537.44226,7933.821660444624,4203.377870168424,4263.971049514695,60.59317934627052
2024-08-08 04:00:00+00:00,6.386254129914805,473.97884422551545,489.38342,7663.504955897766,3632.339221712933,3750.392286357161,118.05306464422802
2024-08-08 05:00:00+00:00,6.193598559058188,426.6884395726375,432.88132,7432.318270869825,3171.284285404649,3217.311722487946,46.02743708329717
2024-08-08 06:00:00+00:00,6.180515606420095,405.7729800321349,377.1418,7416.6187277041145,3009.4634829026395,2797.1170495054507,-212.34643339718878
2024-08-08 07:00:00+00:00,6.853729833553555,373.14783199660366,375.9502,8224.475800264265,3068.9453141771423,3091.9932834522797,23.047969275137348
2024-08-08 08:00:00+00:00,7.494772814102609,313.859026381695,328.05753,8993.727376923129,2822.762518063489,2950.4599495070524,127.69743144356335
2024-08-08 09:00:00+00:00,7.388526040817217,252.2612005463985,255.36801,8866.23124898066,2236.6061391898556,2264.1518433262336,27.545704136377935
2024-08-08 10:00:00+00:00,7.509570903013856,208.34049432765013,222.18546,9011.485083616626,1877.4572569469335,2002.220916433165,124.76365948623152
2024-08-08 11:00:00+00:00,7.730567526447518,194.97309528493483,190.10541,9276.681031737022,1808.7032147288098,1763.547229778924,-45.155984949885806
2024-08-08 12:00:00+00:00,8.026500435426707,190.2534065647656,198.03145,9631.800522512047,1832.4828607602064,1907.3994078286757,74.9165470684693
2024-08-08 13:00:00+00:00,7.713956616887847,196.0391912639547,201.35422,9256.747940265417,1814.685379943911,1863.8852383780736,49.19985843416271
2024-08-08 14:00:00+00:00,7.436498676832892,220.1240149838013,226.7891,8923.79841219947,1964.3423353994183,2023.8201481744215,59.47781277500326
2024-08-08 15:00:00+00:00,7.6251003149388294,290.42078382271603,278.97592,9150.120377926596,2657.3851322296487,2552.663265465379,-104.72186676426963
2024-08-08 16:00:00+00:00,7.207189109615403,376.9941263215605,372.12598,8648.626931538482,3260.4815539364686,3218.378742823495,-42.10281111297354
2024-08-08 17:00:00+00:00,7.1945218521220236,431.9175692858397,426.16125,8633.426222546428,3728.928468650882,3679.2317529385655,-49.696715712316745
2024-08-08 18:00:00+00:00,6.545808609305476,461.2130306042251,456.6116,7854.970331166571,3622.8146717436075,3586.6705927284756,-36.144079015131865
2024-08-08 19:00:00+00:00,6.193882742069875,478.68164413804107,474.74698,7432.65929048385,3557.877569486695,3528.632542307911,-29.245027178783857
2024-08-08 20:00:00+00:00,6.157960200188583,494.24434431239285,490.44046,7389.5522402263,3652.244401732821,3624.1354014060526,-28.109000326768637
2024-08-08 21:00:00+00:00,6.912731983057813,476.2641455465489,503.55286,8295.278379669375,3950.7436695639954,4177.111123091557,226.36745352756134
2024-08-08 22:00:00+00:00,6.930916430195825,418.4745430876578,451.52774,8317.099716234989,3480.4945035659252,3755.4012422060878,274.90673864016253
2024-08-08 23:00:00+00:00,6.45512019667935,367.6217332928138,371.565,7746.1442360152205,2847.6509703800543,2878.1961019664805,30.545131586426123
2024-08-09 00:00:00+00:00,6.404203169716003,327.35380082471727,328.62982,7685.043803659203,2515.728298632282,2525.5345755476037,9.806276915321632
2024-08-09 01:00:00+00:00,6.8653610730605505,302.0930388608167,296.75363,8238.43328767266,2488.773347325143,2444.7849967436086,-43.98835058153418
2024-08-09 02:00:00+00:00,6.223238579489129,290.74821214455034,286.56747,7467.886295386954,2171.274588882546,2140.0533145157856,-31.221274366760554
2024-08-09 03:00:00+00:00,6.276318245261043,272.4933175578075,288.5585,7531.581894313252,2052.305736839734,2173.3019905990764,120.99625375934238
2024-08-09 04:00:00+00:00,6.660831698672261,249.50489261973004,253.12576,7992.998038406713,1994.2921172823799,2023.2337266452514,28.94160936287153
2024-08-09 05:00:00+00:00,6.401348719285103,206.08961862688292,219.15874,7681.618463142124,1583.101819506183,1683.4938019009044,100.39198239472148
2024-08-09 06:00:00+00:00,6.498719533319982,167.3008142121121,169.88846,7798.463439983979,1304.6892831127082,1324.868930553101,20.179647440392955
2024-08-09 07:00:00+00:00,6.769722129491898,153.6981653917402,145.51952,8123.666555390278,1248.5926458177232,1182.152025214381,-66.44062060334227
2024-08-09 08:00:00+00:00,7.184393637199733,140.56952287370652,140.8306,8621.272364639679,1211.8881428616712,1214.1389333551092,2.2507904934379894
2024-08-09 09:00:00+00:00,7.700398602752286,137.07168461012472,132.7815,9240.478323302743,1266.6079303784477,1226.9645183421956,-39.64341203625213
2024-08-09 10:00:00+00:00,7.561876711266763,135.53517108215698,133.73184,9074.252053520115,1229.8803045164632,1213.5164422617136,-16.36386225474962
2024-08-09 11:00:00+00:00,7.820095689866097,137.99172610103938,134.5621,9384.114827839316,1294.9302030239053,1262.746228575182,-32.18397444872335
2024-08-09 12:00:00+00:00,7.187456974742244,139.53242059889192,138.58293,8624.948369690694,1203.459923563409,1195.2706292679154,-8.189294295493482
2024-08-09 13:00:00+00:00,7.646931391064353,140.35442448080633,142.71591,9176.317669277223,1287.9367853244587,1309.6065437359612,21.66975841150247
2024-08-09 14:00:00+00:00,7.328422916968108,147.19416231755383,150.73657,8794.10750036173,1294.4412868462618,1325.593620739951,31.152333893689047
2024-08-09 15:00:00+00:00,7.043824872317951,156.40846689139053,169.9634,8452.58984678154,1322.0566191968342,1436.6308598439382,114.57424064710403
2024-08-09 16:00:00+00:00,6.880461908267812,177.15845090890895,192.48949,8256.554289921374,1462.7183678477775,1589.2998971308825,126.58152928310506
2024-08-09 17:00:00+00:00,6.727051993947822,221.71783067529657,208.1378,8072.462392737386,1789.808849925647,1680.1845801531947,-109.62426977245241
2024-08-09 18:00:00+00:00,6.728975635589004,237.6811002878053,243.56026,8074.770762706805,1919.220399451954,1966.693241841878,47.472842389923926
2024-08-09 19:00:00+00:00,6.168401820565109,245.8229240811031,240.64153,7402.082184678131,1819.601486926218,1781.248347084141,-38.3531398420771
2024-08-09 20:00:00+00:00,6.507657873148604,256.8865789446137,248.7096,7809.189447778324,2006.0759615701506,1942.2203426998954,-63.855618870255284
2024-08-09 21:00:00+00:00,6.378957641666606,275.4638629539199,262.93762,7654.749169999926,2108.6067763114916,2012.7215443044788,-95.88523200701275
2024-08-09 22:00:00+00:00,6.41808172640951,285.8033367904104,285.59308,7701.698071691412,2201.171007841675,2199.551662844322,-1.6193449973529823
2024-08-09 23:00:00+00:00,6.7506894563261515,300.75619449095785,291.02603,8100.827347591381,2436.374005289864,2357.551634788725,-78.82237050113872
2024-08-10 00:00:00+00:00,5.834528859250982,308.3586087430152,308.07425,7001.434631101179,2158.9526420515253,2156.961717772518,-1.9909242790072312
2024-08-10 01:00:00+00:00,6.034349526860686,318.4394026907813,311.58743,7241.219432232824,2305.889590753099,2256.2729736749898,-49.61661707810936
2024-08-10 02:00:00+00:00,5.661373580187526,317.35731482613426,322.16232,6793.64829622503,2156.0139811631175,2188.657516743579,32.6435355804615
2024-08-10 03:00:00+00:00,5.5260143470823255,307.98659140483363,313.0393,6631.217216498791,2042.3259873745112,2075.8316396361565,33.50565226164531
2024-08-10 04:00:00+00:00,5.644035295779876,287.3210777051074,289.7528,6772.842354935851,1945.9803645469665,1962.450087891267,16.46972334430052
2024-08-10 05:00:00+00:00,5.7606241978178065,240.39221562887496,253.99388,6912.749037381368,1661.7710571824796,1755.7959579429269,94.02490076044728
2024-08-10 06:00:00+00:00,5.744143339613428,188.73025905334427,184.02702,6892.972007536114,1300.9123926297411,1268.4931203434526,-32.41927228628856
2024-08-10 07:00:00+00:00,5.739485836064684,157.84398523893685,151.30524,6887.38300327762,1087.1319811042572,1042.0971163562117,-45.03486474804549
2024-08-10 08:00:00+00:00,6.322622445406969,150.23816154533924,139.47513,7587.146934488363,1139.8790068118878,1058.2182911614314,-81.6607156504565
2024-08-10 09:00:00+00:00,6.605585219958584,142.11266059171916,140.80568,7926.702263950301,1126.484748448381,1116.1246970531222,-10.360051395258779
2024-08-10 10:00:00+00:00,7.368598993924806,134.0421935879818,136.50652,8842.318792709766,1185.243807379052,1207.0341273588822,21.7903199798302
2024-08-10 11:00:00+00:00,7.3283221443673,135.1203486290608,131.57634,8793.98657324076,1188.246531615571,1157.080564868616,-31.165966746955064
2024-08-10 12:00:00+00:00,6.686689162360295,137.365932555986,135.73372,8024.026994832354,1102.2279509995521,1089.131024338478,-13.096926661074122
2024-08-10 13:00:00+00:00,6.787265151159589,140.22541466371405,140.6405,8144.718181391507,1142.096484304715,1145.4772612514712,3.380776946756214
2024-08-10 14:00:00+00:00,6.373369984082076,142.31954683695685,149.46228,7648.04398089849,1088.4661535505886,1143.0940930166269,54.62793946603824
2024-08-10 15:00:00+00:00,6.400851383932986,149.18374042735385,162.36966,7681.021660719583,1145.8835416496727,1247.1648710780853,101.28132942841262
2024-08-10 16:00:00+00:00,6.378901250897585,183.86864117621408,184.43135,7654.681501077102,1407.4558862397496,1411.763248483251,4.307362243501302
2024-08-10 17:00:00+00:00,6.312046259345085,243.577293051456,232.37471,7574.4555112141015,1844.9653697602132,1760.1119034550177,-84.85346630519552
2024-08-10 18:00:00+00:00,5.517729040564099,269.843554613403,278.5485,6621.274848676919,1786.7083412393017,1844.3461270744951,57.63778583519343
2024-08-10 19:00:00+00:00,5.5364633899830515,279.8530461490139,275.84598,6643.756067979662,1859.2753734951034,1832.6533887249386,-26.621984770164772
2024-08-10 20:00:00+00:00,5.1631777425653365,296.9142475239178,286.68146,6195.813291078403,1839.625241119233,1776.2247848052402,-63.40045631399266
2024-08-10 21:00:00+00:00,5.6593335198637735,314.3922027064959,307.69702,6791.200223836528,2135.1003973928136,2089.6320811785204,-45.46831621429328
2024-08-10 22:00:00+00:00,5.434396397035109,337.0695641901504,325.17664,6521.275676442131,2198.1235502221775,2120.56648521281,-77.5570650093673
