,workload_MW,actual_CI,forecast_CI,energy_kWh,actual_emission_kgCO2,forecast_emission_kgCO2,emission_error_kgCO2
2024-08-09 00:00:00+00:00,6.404203169716003,327.35380082471727,434.12915,7685.043803659203,2515.728298632282,3336.3015371973074,820.5732385650253
2024-08-09 01:00:00+00:00,6.8653610730605505,302.0930388608167,436.08517,8238.43328767266,2488.773347325143,3592.658618360152,1103.8852710350093
2024-08-09 02:00:00+00:00,6.223238579489129,290.74821214455034,436.09317,7467.886295386954,2171.274588882546,3256.694208994639,1085.419620112093
2024-08-09 03:00:00+00:00,6.276318245261043,272.4933175578075,433.85226,7531.581894313252,2052.305736839734,3267.5938593942083,1215.2881225544743
2024-08-09 04:00:00+00:00,6.660831698672261,249.50489261973004,420.29984,7992.998038406713,1994.2921172823799,3359.455758336854,1365.1636410544743
2024-08-09 05:00:00+00:00,6.401348719285103,206.08961862688292,396.2089,7681.618463142124,1583.101819506183,3043.525546364615,1460.423726858432
2024-08-09 06:00:00+00:00,6.498719533319982,167.3008142121121,373.8844,7798.463439983979,1304.6892831127082,2915.723819610934,1611.0345364982256
2024-08-09 07:00:00+00:00,6.769722129491898,153.6981653917402,333.84348,8123.666555390278,1248.5926458177232,2712.033075369414,1463.4404295516906
2024-08-09 08:00:00+00:00,7.184393637199733,140.56952287370652,263.01392,8621.272364639679,1211.8881428616712,2267.5146056611693,1055.626462799498
2024-08-09 09:00:00+00:00,7.700398602752286,137.07168461012472,233.01134,9240.478323302743,1266.6079303784477,2153.136211222151,886.5282808437032
2024-08-09 10:00:00+00:00,7.561876711266763,135.53517108215698,203.24643,9074.252053520115,1229.8803045164632,1844.309329747035,614.4290252305718
2024-08-09 11:00:00+00:00,7.820095689866097,137.99172610103938,195.92195,9384.114827839316,1294.9302030239053,1838.5540882367245,543.6238852128192
2024-08-09 12:00:00+00:00,7.187456974742244,139.53242059889192,190.95753,8624.948369690694,1203.459923563409,1646.9988783675012,443.5389548040923
2024-08-09 13:00:00+00:00,7.646931391064353,140.35442448080633,191.03525,9176.317669277223,1287.9367853244587,1753.0001198669843,465.0633345425256
2024-08-09 14:00:00+00:00,7.328422916968108,147.19416231755383,217.33952,8794.10750036173,1294.4412868462618,1911.3071321132632,616.8658452670013
2024-08-09 15:00:00+00:00,7.043824872317951,156.40846689139053,264.88766,8452.58984678154,1322.0566191968342,2238.9867859832284,916.9301667863942
2024-08-09 16:00:00+00:00,6.880461908267812,177.15845090890895,314.54846,8256.554289921374,1462.7183678477775,2597.0864526047226,1134.368084756945
2024-08-09 17:00:00+00:00,6.727051993947822,221.71783067529657,371.83035,8072.462392737386,1789.808849925647,3001.5865393206823,1211.7776893950352
2024-08-09 18:00:00+00:00,6.728975635589004,237.6811002878053,397.0623,8074.770762706805,1919.220399451954,3206.1869410101376,1286.9665415581835
2024-08-09 19:00:00+00:00,6.168401820565109,245.8229240811031,402.76025,7402.082184678131,1819.601486926218,2981.2645001358937,1161.6630132096757
2024-08-09 20:00:00+00:00,6.507657873148604,256.8865789446137,408.3107,7809.189447778324,2006.0759615701506,3188.5756056605924,1182.4996440904417
2024-08-09 21:00:00+00:00,6.378957641666606,275.4638629539199,410.82404,7654.749169999926,2108.6067763114916,3144.7549458659955,1036.148169554504
2024-08-09 22:00:00+00:00,6.41808172640951,285.8033367904104,385.66397,7701.698071691412,2201.171007841675,2970.267461365408,769.0964535237331
2024-08-09 23:00:00+00:00,6.7506894563261515,300.75619449095785,343.3697,8100.827347591381,2436.374005289864,2781.578574611317,345.20456932145316
2024-08-10 00:00:00+00:00,5.834528859250982,308.3586087430152,316.98233,7001.434631101179,2158.9526420515253,2219.3310649654636,60.378422913938266
2024-08-10 01:00:00+00:00,6.034349526860686,318.4394026907813,309.03864,7241.219432232824,2305.889590753099,2237.816570911298,-68.07301984180094
2024-08-10 02:00:00+00:00,5.661373580187526,317.35731482613426,310.06116,6793.64829622503,2156.0139811631175,2106.4464525177978,-49.567528645319726
2024-08-10 03:00:00+00:00,5.5260143470823255,307.98659140483363,312.8736,6631.217216498791,2042.3259873745112,2074.7327776523434,32.406790277832215
2024-08-10 04:00:00+00:00,5.644035295779876,287.3210777051074,300.21457,6772.842354935851,1945.9803645469665,2033.3059491137374,87.32558456677089
2024-08-10 05:00:00+00:00,5.7606241978178065,240.39221562887496,283.48987,6912.749037381368,1661.7710571824796,1959.694313258494,297.92325607601447
2024-08-10 06:00:00+00:00,5.744143339613428,188.73025905334427,235.38147,6892.972007536114,1300.9123926297411,1622.4778819179046,321.56548928816346
2024-08-10 07:00:00+00:00,5.739485836064684,157.84398523893685,199.7557,6887.38300327762,1087.1319811042572,1375.7940597332451,288.66207862898796
2024-08-10 08:00:00+00:00,6.322622445406969,150.23816154533924,190.69012,7587.146934488363,1139.8790068118878,1446.7939936262912,306.9149868144034
2024-08-10 09:00:00+00:00,6.605585219958584,142.11266059171916,159.03581,7926.702263950301,1126.484748448381,1260.6295340253105,134.1447855769295
